-1000,5720,75.6306816047561,5694,75.4585979196539
-900,6009,77.517739905134,5925,76.9740215917033
-800,6400,80,6345,79.6555082841105
-700,6432,80.1997506230537,6333,79.5801482783238
-600,6564,81.0185164021164,6533,80.8269756949992
-500,6712.5,81.9298480408697,6786,82.3771813064759
-400,6936,83.282651254628,6721,81.9817052762383
-350,6836.5,82.683130081051,6672,81.6823114266485
-300,6863,82.8432254321378,6883,82.9638475481942
-250,6821.5,82.592372529187,6893,83.0240928887513
-200,7008,83.7137981458254,6881,82.951793229562
-150,6887.5,82.9909633634892,6953,83.3846508657319
-100,6833.5,82.6649865420663,6880,82.9457654133109
-50,7068.5,84.0743718382719,6968,83.4745470188368
0,6972.5,83.5014969925689,6836,82.6801064343776
50,6959,83.4206209518965,7029,83.8391316748927
100,7032.5,83.8600023849272,6870,82.8854631404084
150,6925,83.2165848854662,6896,83.0421579681068
200,6964.5,83.4535799112297,6881,82.951793229562
250,6823.5,82.6044792974328,6772,82.2921624457639
300,6820.5,82.5863184795157,6883,82.9638475481942
350,6824,82.6075057122535,6832,82.6559132790873
400,6799.5,82.4590807613085,6869,82.8794304999739
500,6757.5,82.2040145005096,6645,81.516869419771
600,6585,81.1480129146734,6521,80.7527089328897
700,6456,80.3492377064027,6297,79.3536388579629
800,6312,79.4480962641648,6301,79.3788384898645
900,6089,78.0320446995976,5986,77.3692445355388
1000,5849,76.4787552199956,5657,75.2130307858951
